course_title,course_link
CIPD Level 5 Fast Track Senior People Management,https://www.reed.co.uk/courses/cipd-level-5-fast-track-senior-people-management/450248#/courses/discount?pageno=5
Level 3 Diploma in Control and Administration of Medication - CPD Accredited,https://www.reed.co.uk/courses/level-3-diploma-in-control-and-administration-of-medication-cpd-accredited/458068#/courses/discount?pageno=5
Human Biology: Anatomy and Physiology Level 3 Diploma,https://www.reed.co.uk/courses/human-biology-anatomy-and-physiology-level-3-diploma/465869#/courses/discount?pageno=5
Level 2 & 3 Diploma in Nail Technician with Manicures & Pedicures - CPD Accredited,https://www.reed.co.uk/courses/level-2-3-diploma-in-nail-technician-with-manicures-pedicures-cpd-accredited/467016#/courses/discount?pageno=5
Translation: Translator & Interpreter Training Diploma - Level 1 & 2,https://www.reed.co.uk/courses/translation-translator-interpreter-training-diploma-level-1-2/476065#/courses/discount?pageno=5
CompTIA Cybersecurity Career Bundle,https://www.reed.co.uk/courses/comptia-cybersecurity-career-bundle/480577#/courses/discount?pageno=5
Level 7 Project Management and Basics of PRINCE2® for Project Managers,https://www.reed.co.uk/courses/level-7-project-management-and-basics-of-prince2-for-project-managers/491877#/courses/discount?pageno=6
Level 3 Diploma in Lab Technician with Microbiology & Biomedical Science - CPD Certified,https://www.reed.co.uk/courses/level-3-diploma-in-lab-technician-with-microbiology-biomedical-science-cpd-certified/506999#/courses/discount?pageno=6
Level 3 Advanced Diploma Traffic Marshall (Banksman) - CPD Accredited,https://www.reed.co.uk/courses/level-3-advanced-diploma-traffic-marshall-banksman-cpd-accredited/507009#/courses/discount?pageno=6
Office Skills & Administration (Office Management) Training for Receptionist & PA,https://www.reed.co.uk/courses/office-skills-administration-office-management-training-for-receptionist-pa/230296#/courses/discount?pageno=6
CIPD Level 3 Fast Track,https://www.reed.co.uk/courses/cipd-level-3-fast-track/450243#/courses/discount?pageno=6
APM Project Management Qualification (PMQ),https://www.reed.co.uk/courses/apm-project-management-qualification-pmq/480556#/courses/discount?pageno=6
